metric,before,after,improvement_pct
R2,0.698691907402074,0.4548729658126831,-34.89648851766596
RMSE,14325.583454531523,24296.568975886286,-69.60264866699517
MAE,8154.250623073701,10485.6611328125,-28.59135213653743
